schoolCode,schoolname,mgmt,type,classL,classH
27030304111,"Z.P.PRI.SCH KANDARI,HIGHWAY 6 KANDARI",Zilla Parishad,2_Primary with Upper Primary,1,5
27030304201,Z.P. SCH. MIRGAVHAN,Zilla Parishad,2_Primary with Upper Primary,1,5
27030304301,Z.P. SCH. SAKEGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27030304302,Z.P.GIRALS SCH. SAKEGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27030304303,Z.P. URDU  SCH. SAKEGAON,Zilla Parishad,2_Primary with Upper Primary,1,5
27030304401,Z P SCHOOL SUNASGAON,Zilla Parishad,1_Primary,1,4
27030304501,Z.P. SCH. VANJOLE,Zilla Parishad,2_Primary with Upper Primary,1,7
27030304601,Z.P. SCH. ANJANSONDE,Zilla Parishad,1_Primary,1,4
27030304701,Z.P. SCH. DARYAPUR,Zilla Parishad,1_Primary,1,4
27030304702,Z.P. ORDER. FACTORY DARYAPUR,Zilla Parishad,1_Primary,1,4
27030304801,Z.P. SCH. HATNUR,Zilla Parishad,2_Primary with Upper Primary,1,5
27030304901,Z.P. SCH. KAHURKHEDE,Zilla Parishad,2_Primary with Upper Primary,1,7
27030305001,Z.P. SCH. MANPUR,Zilla Parishad,2_Primary with Upper Primary,1,5
27030305101,Z.P. SCH. TAHAKALI,Zilla Parishad,2_Primary with Upper Primary,1,7
27030305201,Z.P. CENTRAL SCH. VARANGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27030305203,Z.P. GIRLS NO.1 VARANGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27030305205,Z.P.  URDU BOYS   VARANGAON,Zilla Parishad,1_Primary,1,4
27030305206,Z.P. URDU GIRLS NO.1 VARANGAON,Zilla Parishad,1_Primary,1,4
27030305209,Z.P. SCH. SIDDHESHWAR VARANGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27030305215,Z P URDU SCHOOL SHINDI,Zilla Parishad,1_Primary,1,4
27030400101,Z.P.CENTRAL SCH. BODWAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400103,Z.P.GIRLS SCH. NO. 1 BODWAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400104,Z.P.GIRLS SCH. NO. 2 BODWAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400105,Z.P. URDU BOYS SCH. BODWAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400106,Z.P. URDU GIRLS SCH. BODWAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400201,Z. P. PRI. SCH. BHANKHEDE P.B.,Zilla Parishad,1_Primary,1,4
27030400301,Z.P. PRI. SCH. GOLEGAON BK.,Zilla Parishad,2_Primary with Upper Primary,1,5
27030400501,Z.P. PRI. SCH. JALCHKR BK.,Zilla Parishad,2_Primary with Upper Primary,1,6
27030400701,Z.P. PRI. SCH. KRANJI PANCHDEVLI,Zilla Parishad,2_Primary with Upper Primary,1,7
27030400901,Z.P. PRI. SCH. MANUR BK.,Zilla Parishad,1_Primary,1,4
27030401001,Z.P. PRI. SCH. MANUR KH.,Zilla Parishad,2_Primary with Upper Primary,1,5
27030401201,Z.P. PRI. SCH. SALSHINGI,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27030401301,Z.P. CENTRAL SCH. ENGAON,Zilla Parishad,1_Primary,1,4
27030401401,Z.P. PRI. SCH. CHIKHALI BK.,Zilla Parishad,2_Primary with Upper Primary,1,7
27030401501,Z.P. PRI. SCH. CHINCHKHEDE P.B.,Zilla Parishad,1_Primary,1,4
27030401601,Z.P. PRI. SCH. GHANKHEDE,Zilla Parishad,2_Primary with Upper Primary,1,5
27030401701,Z.P. PRI. SCH. HARANKHEDE,Zilla Parishad,1_Primary,1,4
27030401801,Z.P. PRI. SCH. NIMKHEDE,Zilla Parishad,1_Primary,1,4
27030402001,Z.P.PRI. SCH. WADAJI,Zilla Parishad,1_Primary,1,4
27030402101,Z.P.PRI. SCH. WARKHEDE BK.,Zilla Parishad,1_Primary,1,4
27030402201,Z.P.PRI. SCH. WARKHEDE KH.,Zilla Parishad,1_Primary,1,4
27030402401,Z.P.PRI. SCH.AMADGAON,Zilla Parishad,2_Primary with Upper Primary,1,5
27030402501,Z.P.PRI. SCH. CHINCHKHEDE SIM,Zilla Parishad,2_Primary with Upper Primary,1,5
27030402701,Z.P.PRI. SCH. HINGANE,Zilla Parishad,2_Primary with Upper Primary,1,5
27030402801,Z.P.PRI. SCH. JUNONEDIGAR,Zilla Parishad,2_Primary with Upper Primary,1,5
